thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,65,AI_sad_man_01.jpg,ai,male,sad,left,0.5637822500139009,True,False,ayal,001,
,,66,AI_sad_woman_07.jpg,ai,female,sad,left,0.677454165997915,True,False,ayal,001,
,,67,real_woman9_smiling.JPG,non-ai,female,happy,right,0.5629980830126442,True,False,ayal,001,
,,68,real_woman14_sad.JPG,non-ai,female,sad,left,1.0100972499931231,True,False,ayal,001,
,,69,real_woman11_sad.JPG,non-ai,female,sad,left,0.6838255420152564,True,False,ayal,001,
,,70,real_woman5_smiling.JPG,non-ai,female,happy,right,0.6879394999996293,True,False,ayal,001,
,,71,AI_happy_woman_08.jpg,ai,female,happy,right,0.5186512500222307,True,False,ayal,001,
,,72,real_woman6_smiling.JPG,non-ai,female,happy,right,0.5379402909893543,True,False,ayal,001,
,,73,real_woman8_smiling.JPG,non-ai,female,happy,right,0.5637788329913747,True,False,ayal,001,
,,74,AI_sad_man_08.jpg,ai,male,sad,left,0.6410977500199806,True,False,ayal,001,
,,75,AI_sad_woman_04.jpg,ai,female,sad,left,0.5418294580013026,True,False,ayal,001,
,,76,real_woman19_sad.JPG,non-ai,female,sad,left,0.5437958330148831,True,False,ayal,001,
,,77,AI_sad_woman_05.jpg,ai,female,sad,left,0.6370349590142723,True,False,ayal,001,
,,78,real_man1_smiling.JPG,non-ai,male,happy,right,0.5626408339885529,True,False,ayal,001,
,,79,AI_sad_woman_09.jpg,ai,female,sad,left,0.5790984159975778,True,False,ayal,001,
